Name,Race,Nationality,Best result (totally biased selection),Career start,Career end,Career end,Career duration
Capoch,Protoss,Argentina,World Championship Series: Argentina Nationals winner,11/28/10,7/7/12,7/7/12,8/9/01
Light,Protoss,Australia,2012 StarCraft II World Championship Series: Oceania Finals top4,2/23/11,7/17/12,7/17/12,5/24/01
monchi,Protoss,Austria,2012 DreamHack Open: Winter top4,8/31/11,12/18/13,12/18/13,4/19/02
Feast,Protoss,Belgium,IEM Season VI - World Championship top4,8/27/10,12/5/13,12/5/13,4/10/03
Levin,Protoss,Brazil,2012 World Championship Series: South America Finals top3,10/30/10,7/15/12,7/15/12,9/15/01
HuK,Protoss,Canada,Win DH Summer 2011,6/17/10,12/31/15,Active,7/15/05
CombatEX,Protoss,Canada,World Cyber Games 2012 top8,7/21/11,12/2/12,12/2/12,5/14/01
SUGGY,Protoss,Canada,IEM Season V - American Championships top6,7/27/10,1/14/11,1/14/11,6/19/00
KiWiKaKi,Protoss,Canada,2011 MLG Dallas top2,7/27/10,12/31/15,Active,6/5/05
TT1,Protoss,Canada,MLG Dallas 2010 top2,4/2/10,9/9/13,9/9/13,6/9/03
desRow,Protoss,Canada,,11/21/10,12/31/15,Active,2/8/05
MacSed,Protoss,China,World Cyber Games 2012 top3,3/31/10,12/31/15,Active,10/1/05
Jim,Protoss,China,IEM Season IX - Shenzhen top4,3/1/11,12/31/15,Active,10/31/04
Top,Protoss,China,World E-sport Championships 2014 top6,11/7/11,10/15/15,10/15/15,12/8/03
Jieshi,Protoss,China,,9/7/14,12/31/15,Active,4/24/01
BabyKnight,Protoss,Denmark,2013 WCS Season 1 Europe top8,4/11/11,5/21/14,5/21/14,2/9/03
Welmu,Protoss,Finland,2014 WCS Season 1 Europe top8,12/22/10,12/31/15,Active,1/8/05
elfi,Protoss,Finland,IEM Season VI - Global Challenge Guangzhou top2,10/10/10,12/31/15,Active,3/22/05
Lilbow,Protoss,France,2015 WCS Season 3 winner,2/24/13,12/31/15,Active,11/5/02
Adelscott,Protoss,France,World Cyber Games 2012 top2,9/15/10,3/21/13,3/21/13,7/6/02
NeOAnGeL,Protoss,France,Electronic Sports World Cup 2012 top4,12/18/11,1/27/15,1/27/15,2/9/03
ToD,Protoss,France,LE TOD AND HIS LE MASSEHSHIP COHR! <3,1/9/11,6/10/15,6/10/15,5/31/04
Socke,Protoss,Germany,IEM Season VII - Katowice top4,5/1/10,6/10/15,6/10/15,2/8/05
HasuObs,Protoss,Germany,IEM Season VI - Global Challenge Guangzhou top4,3/24/10,6/9/15,6/9/15,3/17/05
ShoWTimE,Protoss,Germany,2015 WCS Season 1 top4,9/17/12,12/31/15,Active,4/14/03
GunGFuBanDa,Protoss,Germany,2015 WCS Season 3 top8,6/22/13,12/31/15,Active,7/10/02
GoOdy,Protoss,Germany,IEM Season V - European Championships top6,8/1/10,12/31/15,Active,5/31/05
ABomB,Protoss,Ireland,IEM Season VIII - Sao Paulo top8,8/6/12,6/21/14,6/21/14,11/14/01
Genius,Protoss,South Korea,2012 season 1 GSL top2,9/18/10,4/30/14,4/30/14,8/12/03
